You Shi;Jia Baoyu;55.0
Jia Baoyu;Jia Yingchun;55.0
Wang Furen;Jia Tanchun;55.0
Shi Taijun;Zi Juan;54.0
Jia She;Xing Furen;54.0
Qing Wen;She Yue;54.0
Jia Zhen;Jia Lian;54.0
Ping Er;Wang Furen;54.0
Wang Xifeng;Jia Rong;53.0
You Shi;Jia Zhen;53.0
Jia Zheng;Jia Zhen;53.0
Xue Baochai;Xiang Ling;53.0
Shi Xiangyun;Li Wan;53.0
Jia Lian;Jia She;52.0
Xue Baochai;Jia Xichun;51.0
Shi Taijun;Jia Yingchun;51.0
Xue Baochai;Jia Zheng;49.0
Wang Furen;Jia Zhen;49.0
Ping Er;Xi Ren;49.0
Xue Baochai;Jia Yingchun;48.0
Jia Zhen;Jia She;47.0
Wang Xifeng;Jia She;47.0
Qiu Wen;Jia Baoyu;46.0
Jia Lian;Xing Furen;46.0
Wang Furen;Jia Huan;45.0
Lin Daiyu;Xue Yan;45.0
Shi Xiangyun;Wang Xifeng;45.0
Zhou Rui;Wang Xifeng;45.0
Xue Baoqin;Xue Baochai;45.0
Wang Furen;Jia Yingchun;45.0
Shi Taijun;Qing Wen;45.0
Lin Daiyu;Jia Yingchun;44.0
Ping Er;Xue Baochai;44.0
You Shi;Xing Furen;44.0
Li Wan;Jia Xichun;44.0
You Shi;Jia Rong;44.0
Wang Xifeng;Jia Xichun;43.0
You Shi;Li Wan;43.0
Shi Xiangyun;Jia Tanchun;43.0
Li Wan;Xi Ren;43.0
Lin Daiyu;Jia Xichun;43.0
Ying Er;Xue Baochai;43.0
Jia Xichun;Jia Tanchun;42.0
Wang Furen;Jia Xichun;42.0
Jia Zheng;Xing Furen;41.0
Wang Xifeng;Jia Yingchun;41.0
Jia Baoyu;Jia Rong;41.0
Xue Baoqin;Jia Baoyu;41.0
Jia Tanchun;Jia Yingchun;40.0
Xue Baochai;Xing Furen;40.0
Shi Taijun;She Yue;40.0
Lin Daiyu;Jia Zheng;39.0
Lin Daiyu;Xue Baoqin;39.0
Fang Guan;Jia Baoyu;39.0
Shi Taijun;Jia Yuanchun;39.0
Lin Daiyu;Xiang Ling;38.0
Xue Pan;Jia Baoyu;38.0
Shi Taijun;Jia Huan;37.0
Jia Yuanchun;Jia Baoyu;37.0
Xing Furen;Yuan Yang;37.0
Li Wan;Xing Furen;37.0
Shi Xiangyun;Xi Ren;37.0
Shi Xiangyun;Xue Baoqin;37.0
Zi Juan;Xue Yan;37.0
Jia Baoyu;Xue Yan;36.0
Li Wan;Jia Yingchun;36.0
Liu Laolao;Wang Xifeng;36.0
Ping Er;Xing Furen;36.0
Zhou Ruijiade;Wang Xifeng;35.0
Jia Baoyu;Xiang Ling;35.0
Jia Lian;Yuan Yang;35.0
Li Wan;Xue Yima;35.0
Xue Baochai;Jia Lian;35.0
Jia Lian;Jia Rong;35.0
Ping Er;Jia Tanchun;35.0
Shi Taijun;Jia Lan;34.0
Xi Ren;Jia Zheng;34.0
Xue Baochai;Yuan Yang;34.0
Qin Zhong;Jia Baoyu;34.0
Xi Ren;Jia Tanchun;34.0
Ying Er;Jia Baoyu;34.0
Shi Taijun;Hu Po;34.0
Xue Yima;Xi Ren;34.0
Qing Wen;Lin Daiyu;34.0
Jia Lan;Jia Huan;34.0
Shi Xiangyun;Wang Furen;34.0
Jia Baoyu;Jia Yun;33.0
Jia Xichun;Jia Yingchun;33.0
Xue Yima;Xue Pan;33.0
Shi Taijun;Xue Baoqin;33.0
Zi Juan;Xue Baochai;33.0
Xi Ren;Yuan Yang;33.0
Qiu Wen;Xi Ren;33.0
Lin Daiyu;Yuan Yang;32.0
Jia Yuanchun;Jia Zheng;32.0
Xue Yima;Xiang Ling;32.0
Jia Huan;Zhao Yiniang;32.0
Wang Furen;Jia Rong;32.0
Liu Laolao;Shi Taijun;31.0
Jia Rong;Jia She;31.0
Shi Taijun;Zhou Rui;31.0
Xue Baochai;Xue Pan;31.0
Zi Juan;Xi Ren;30.0
Jia Zhen;Xing Furen;30.0
Shi Xiangyun;Xue Yima;30.0
